Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total
5324-2,13-09-2014,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Binder Posts,Office Supplies,Small Box,Regular Air,17-09-2014,$3.50,$5.74,$2.24,1,$162.70,6%,$15.22,$152.78,$5.01,$152.59
5325-1,24-01-2014,Ken Lonsdalel,"99 Lygon Street,East Brunswick",Melbourne,VIC,Small Business,Connor Betts,Critical,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Office Supplies,Small Box,Regular Air,26-01-2014,$56.16,$136.98,$80.82,18,"$3,040.14",2%,$0.00,"$1,330.22",$24.49,"$1,440.61"
5325-1,17-10-2014,Sam Craven,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Small Business,Connor Betts,Medium,Apex Straight Scissors,Office Supplies,Small Box,Regular Air,17-10-2014,$5.19,$12.98,$7.79,24,$142.08,6%,$12.42,$132.18,$3.14,$131.39
5325-1,13-10-2016,Naresj Patel,"106 Ebley Street,Bondi Junction",Sydney,NSW,Corporate,Leighton Forrest,High,Deluxe Rollaway Locking File with Drawer,Technology,Medium Box,Regular Air,18-10-2016,$178.83,$415.88,$237.05,24,"$1,876.85",1%,$143.93,"$1,653.45",$11.37,"$1,645.47"
5325-1,24-06-2013,Paul Lucas,"8 Quay Street,Haymarket",Sydney,NSW,Home Office,Leighton Forrest,Low,Steady Pocket Accent Highlighters,Office Supplies,Small Box,Regular Air,25-06-2013,$0.93,$1.60,$0.67,13,$106.98,9%,$11.04,$95.08,$1.29,$96.41
5326-1,05-12-2013,Trudy Brown,"180 High Street,Windsor",Melbourne,VIC,Consumer,Connor Betts,Low,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Office Supplies,Small Box,Regular Air,07-12-2013,$14.95,$34.76,$19.81,8,"$2,007.53",9%,$180.68,"$1,826.85",$8.22,"$1,835.84"
5326-1,05-12-2013,Trudy Brown,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,High,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies,Wrap Bag,Express Air,07-12-2013,$16.80,$40.97,$24.17,38,"$2,007.53",2%,$180.68,"$1,826.85",$8.99,"$1,835.84"
5326-1,27-11-2013,Tanja Norvell,"541 Church St,Richmond",Melbourne,VIC,Small Business,Yvette Biti,Medium,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Regular Air,29-11-2013,$1.18,$1.88,$0.70,32,$59.34,10%,$4.39,$59.69,$1.49,$60.59
5326-1,22-09-2013,Andrew Allen,"2/797 Botany Rd,Rosebery",Sydney,NSW,Home Office,Samantha Chairs,Medium,Economy Rollaway Files,Technology,Small Box,Regular Air,03-09-2013,$67.73,$165.20,$97.47,34,"$6,328.68",2%,$402.74,"$5,814.36",$19.99,"$5,826.16"
5326-1,05-12-2013,Trudy Brown,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,High,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies,Wrap Bag,Regular Air,07-12-2013,$16.80,$40.97,$24.17,41,"$2,007.53",5%,$180.68,"$1,826.85",$8.99,"$1,835.84"
5326-1,04-02-2016,Cyma Kinney,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Consumer,Phoebe Gour,Not Specified,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies,Small Box,Regular Air,05-02-2016,$16.80,$40.97,$24.17,14,"$2,007.53",9%,$80.30,"$1,826.85",$8.99,"$1,835.84"
5326-1,15-07-2013,Mike Konness,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Wirebound Voice Message Log Book,Office Supplies,Wrap Bag,Express Air,20-07-2013,$2.90,$4.76,$1.86,48,$159.84,10%,$9.49,$145.85,$0.88,$148.54
5326-1,16-12-2015,Patrick OBrill,"53 Riley Street,Woolloomooloo",Sydney,NSW,Consumer,Tina Carlton,High,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Office Supplies,Small Box,Regular Air,18-12-2015,$3.88,$6.47,$2.59,50,$147.74,7%,$4.48,$146.76,$1.22,$147.59
5326-1,01-11-2014,John Murray,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,Critical,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies,Small Box,Express Air,03-11-2014,$16.80,$40.97,$24.17,49,"$2,007.53",7%,$100.38,"$1,826.85",$8.99,"$1,835.84"
5326-1,05-12-2013,Trudy Brown,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Not Specified,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Wrap Bag,Regular Air,07-12-2013,$21.56,$36.55,$14.99,33,"$2,007.53",5%,$180.68,"$1,826.85",$13.89,"$1,835.84"
5326-1,05-12-2013,Trudy Brown,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Not Specified,Steady 52201 APSCO Electric Pencil Sharpener,Technology,Small Box,Regular Air,07-12-2013,$16.80,$40.97,$24.17,30,"$2,007.53",8%,$180.68,"$1,826.85",$8.99,"$1,835.84"
5326-1,11-03-2014,Rick Duston,"24 Addison Rd,Marrickville",Sydney,NSW,Corporate,Radhya Staples,Medium,Cando PC940 Copier,Office Supplies,Small Box,Regular Air,12-03-2014,$216.00,$449.99,$233.99,25,"$4,196.10",4%,$419.65,"$3,712.75",$24.49,"$3,726.84"
5326-1,27-12-2014,Todd Boyes,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Corporate,Preston Senome,Not Specified,Economy Rollaway Files,Technology,Small Box,Regular Air,29-12-2014,$67.73,$165.20,$97.47,20,$91.66,0%,$5.36,$956.16,$19.99,$988.46
5326-1,05-12-2013,Trudy Brown,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,Not Specified,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies,Small Pack,Regular Air,07-12-2013,$16.80,$40.97,$24.17,49,"$2,007.53",4%,$180.68,"$1,826.85",$8.99,"$1,835.84"
5326-1,04-04-2015,Valerie Mitchum,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Medium,Economy Rollaway Files,Office Supplies,Small Box,Regular Air,05-04-2015,$67.73,$165.20,$97.47,13,$448.65,6%,$40.22,$445.65,$19.99,$456.82
5327-1,20-10-2014,George Ashbrook,"506 Swan Street,Richmond",Melbourne,VIC,Consumer,Connor Betts,Medium,Lumi Crayons,Technology,Small Box,Regular Air,22-10-2014,$5.22,$9.85,$4.63,12,"$2,017.52",0%,$301.98,"$1,804.77",$4.82,"$1,810.05"
5327-1,20-07-2015,Neil French,"523 King St,Newtown",Sydney,NSW,Corporate,Aanya Zhang,Low,Artisan 481 Labels,Office Supplies,Wrap Bag,Express Air,23-07-2015,$1.94,$3.08,$1.14,45,$113.00,5%,$11.58,$10.46,$0.99,$11.74
5328-1,08-12-2013,Gary Hwang,"60 York St,Sydney",Sydney,NSW,Home Office,Charlie Bui,Critical,Smiths Metal Binder Clips,Office Supplies,Wrap Bag,Regular Air,15-12-2013,$1.60,$2.62,$1.02,15,$123.14,5%,$12.31,$110.83,$0.80,$111.63
5328-1,12-11-2015,Michael Oakman,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Home Office,Connor Betts,Critical,Steady Liquid Accent Tank-Style Highlighters,Technology,Large Box,Regular Air,14-11-2015,$1.31,$2.84,$1.53,3,$52.82,6%,$3.17,$42.65,$0.93,$42.04
5328-1,08-12-2013,Gary Hwang,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,High,Smiths Standard Envelopes,Office Supplies,Small Pack,Regular Air,15-12-2013,$3.52,$5.68,$2.16,10,$123.14,1%,$12.31,$110.83,$1.39,$111.63
5328-1,26-05-2015,Patrick Ryan,"Cnr Williams Road & Lechlade Ave,South Yarra",Melbourne,VIC,Corporate,Yvette Biti,Low,Economy Binders,Office Supplies,Wrap Bag,Regular Air,25-05-2015,$1.33,$2.08,$0.75,1,$20.90,10%,$0.82,$29.94,$1.49,$24.44
5328-1,08-12-2013,Gary Hwang,"60 York St,Sydney",Sydney,NSW,Corporate,Charlie Bui,High,Smiths Metal Binder Clips,Office Supplies,Small Box,Regular Air,15-12-2013,$1.60,$2.62,$1.02,27,$123.14,7%,$12.31,$110.83,$0.80,$111.63
5328-1,26-05-2015,Kelly Williams,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Small Business,Yvette Biti,Low,"Creator Anti Dust Chalk, 12/Pack",Technology,Small Box,Regular Air,28-05-2015,$1.09,$1.82,$0.73,46,$356.92,9%,$0.00,$356.00,$1.00,$364.19
5328-1,20-10-2013,Tamara Willingham,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,High,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Regular Air,21-10-2013,$1.18,$1.88,$0.70,28,$96.60,10%,$0.00,$93.62,$1.49,$94.04
5328-1,08-12-2013,Gary Hwang,"60 York St,Sydney",Sydney,NSW,Corporate,Charlie Bui,Low,Smiths Pushpins,Office Supplies,Wrap Bag,Regular Air,15-12-2013,$0.94,$1.88,$0.94,31,$123.14,4%,$12.31,$110.83,$0.79,$111.63
5328-1,08-12-2013,Gary Hwang,"60 York St,Sydney",Sydney,NSW,Corporate,Charlie Bui,Critical,Smiths Metal Binder Clips,Office Supplies,Small Box,Regular Air,15-12-2013,$1.60,$2.62,$1.02,39,$123.14,7%,$12.31,$110.83,$0.80,$111.63
5329-1,11-07-2015,Matthew Grinstein,"105 Pitt St,Sydney",Sydney,NSW,Home Office,Charlie Bui,High,Artisan 479 Labels,Office Supplies,Small Pack,Express Air,13-07-2015,$1.59,$2.61,$1.02,33,$34.40,5%,$2.39,$33.02,$0.50,$35.02
5329-1,23-11-2013,Sarah Foster,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,High,EcoTones Memo Sheets,Office Supplies,Small Box,Regular Air,25-11-2013,$2.52,$4.00,$1.48,10,$154.98,3%,$12.40,$142.58,$1.30,$147.69
5329-1,07-01-2015,Barry Franz,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Consumer,Yvette Biti,Critical,EcoTones Memo Sheets,Office Supplies,Wrap Bag,Regular Air,09-01-2015,$2.52,$4.00,$1.48,33,$157.22,2%,$9.11,$144.11,$1.30,$147.39
5329-1,02-11-2013,Eugene Hildebrand,"120 Hardware St,Melbourne",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,EcoTones Memo Sheets,Office Supplies,Wrap Bag,Regular Air,03-11-2013,$2.52,$4.00,$1.48,30,$154.98,3%,$6.20,$142.58,$1.30,$147.29
5329-1,05-12-2014,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Small Business,Yvette Biti,Medium,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,08-12-2014,$5.33,$8.60,$3.27,34,$338.56,7%,$19.18,$325.56,$6.19,$333.16
5330-1,11-02-2013,Patrick Jones,"221 Barkly St,St Kilda",Melbourne,VIC,Consumer,Yvette Biti,Medium,Steady Pocket Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,12-02-2013,$0.93,$1.60,$0.67,46,$40.00,1%,$4.00,$36.00,$1.29,$37.29
5330-1,13-01-2014,Ashley Jarboe,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,High,Apex Box Cutter Scissors,Furniture,Small Pack,Regular Air,18-01-2014,$4.19,$10.23,$6.04,1,$467.22,10%,$42.05,$425.17,$4.68,$431.33
5330-1,08-12-2013,Gary Hwang,"60 York St,Sydney",Sydney,NSW,Small Business,Charlie Bui,Medium,Steady Pocket Accent Highlighters,Office Supplies,Small Box,Express Air,15-12-2013,$0.93,$1.60,$0.67,22,$40.00,7%,$4.00,$36.00,$1.29,$37.29
5331-1,13-05-2013,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,Connor Betts,High,Steady Major Accent Highlighters,Furniture,Large Box,Regular Air,15-05-2013,$3.75,$7.08,$3.33,41,$85.20,4%,$6.81,$88.99,$2.35,$80.49
5332-1,09-12-2013,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Home Office,Leighton Forrest,Not Specified,Bagged Rubber Bands,Office Supplies,Wrap Bag,Express Air,09-12-2013,$0.24,$1.26,$1.02,29,$11.34,4%,$0.68,$10.66,$0.70,$11.36
5332-1,09-10-2014,Trudy Bell,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Consumer,Nicholas Fernandes,High,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Office Supplies,Small Box,Regular Air,09-10-2014,$56.16,$136.98,$80.82,50,$378.50,7%,$30.28,$334.95,$24.49,$336.14
5332-1,07-04-2014,Carlos Daly,"5/63-71 Enmore Rd,Newtown",Sydney,NSW,Corporate,Charlie Bui,Critical,Alto Memo Cubes,Office Supplies,Wrap Bag,Regular Air,07-04-2014,$3.32,$5.18,$1.86,36,$180.82,0%,$93.48,$180.58,$2.04,$105.04
5332-1,26-04-2015,Greg Tran,"Crown Complex,Southbank",Melbourne,VIC,Corporate,Yvette Biti,Low,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,28-04-2015,$156.50,$300.97,$144.47,12,"$1,011.52",4%,$0.00,"$1,090.67",$7.18,"$1,098.29"
5333-1,13-09-2016,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Low,Apex Box Cutter Scissors,Office Supplies,Small Box,Regular Air,20-09-2016,$4.19,$10.23,$6.04,8,$439.58,10%,$38.83,$435.05,$4.68,$440.52
5333-1,09-06-2014,Anthony Rawles,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Small Business,Mihael Khan,High,Apex Box Cutter Scissors,Office Supplies,Wrap Bag,Regular Air,09-06-2014,$4.19,$10.23,$6.04,22,$437.42,4%,$34.37,$430.25,$4.68,$430.35
5334-1,10-12-2013,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Medium,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,12-12-2013,$3.65,$5.98,$2.33,50,$149.50,8%,$4.49,$145.02,$1.49,$146.51
5334-1,29-12-2013,Henry Goldwyn,"541 Church St,Richmond",Melbourne,VIC,Consumer,Yvette Biti,Low,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,29-12-2013,$3.32,$5.18,$1.86,37,$105.48,6%,$11.04,$90.88,$2.04,$98.06
5334-1,18-03-2015,Erin Creighton,"523 King St,Newtown",Sydney,NSW,Corporate,Aanya Zhang,Medium,Wirebound Voice Message Log Book,Office Supplies,Small Pack,Regular Air,21-03-2015,$2.90,$4.76,$1.86,8,$149.50,3%,$4.49,$145.02,$0.88,$146.51
5334-1,29-08-2013,Nancy Lomonaco,"153 Bint St,Newtown",Sydney,NSW,Consumer,Charlie Bui,Critical,Apex Design Stainless Steel Bent Scissors,Office Supplies,Small Pack,Express Air,03-09-2013,$2.87,$6.84,$3.97,41,$239.40,3%,$4.39,$234.61,$4.42,$239.03
5334-1,23-02-2015,Bebery Pistek,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Medium,TechSavi Internet Navigator Keyboard,Office Supplies,Small Box,Regular Air,25-02-2015,$6.51,$30.98,$24.47,10,$242.04,1%,$14.65,$229.65,$6.50,$231.86
5334-1,29-08-2013,Nancy Lomonaco,"523 King St,Newtown",Sydney,NSW,Small Business,Aanya Zhang,Medium,Artisan Hanging File Binders,Technology,Small Pack,Regular Air,03-09-2013,$3.65,$5.98,$2.33,38,$149.20,3%,$4.49,$145.02,$1.49,$146.51
5334-1,15-02-2014,Yana Sorensen,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Cando PC940 Copier,Office Supplies,Small Box,Express Air,20-02-2014,$278.99,$449.99,$171.00,20,"$2,942.99",7%,$0.00,"$2,494.97",$49.00,"$2,079.84"
5334-1,24-08-2013,Henry Goldwyn,"541 Church St,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Artisan Hanging File Binders,Office Supplies,Wrap Bag,Regular Air,27-08-2013,$3.65,$5.98,$2.33,6,$159.20,4%,$1.54,$145.02,$1.49,$146.51
5334-1,24-01-2014,Patrick ODonnell,"21 Wentworth St,Parramatta",Sydney,NSW,Small Business,Aanya Zhang,Not Specified,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,26-01-2014,$4.59,$7.28,$2.69,34,$223.72,0%,$6.28,$216.58,$11.15,$223.16
5334-1,05-06-2013,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Consumer,Samantha Chairs,Low,Wirebound Voice Message Log Book,Office Supplies,Small Box,Regular Air,05-06-2013,$2.90,$4.76,$1.86,34,"$11,436.86",3%,"$1,029.32","$10,407.54",$0.88,$109.84
5334-1,11-12-2013,Bill Stewart,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Critical,Artisan Poly Binder Pockets,Technology,Small Box,Regular Air,15-12-2013,$2.26,$3.58,$1.32,6,$149.50,3%,$4.49,$145.02,$5.47,$146.51
5334-1,18-03-2015,Erin Creighton,"523 King St,Newtown",Sydney,NSW,Home Office,Aanya Zhang,High,Artisan Hanging File Binders,Office Supplies,Wrap Bag,Regular Air,21-03-2015,$3.65,$5.98,$2.33,10,$149.50,8%,$4.49,$145.02,$1.49,$146.51
5335-1,27-12-2014,Todd Boyes,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Corporate,Preston Senome,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,29-12-2014,$1.84,$2.88,$1.04,22,$95.06,1%,$9.69,$87.20,$0.99,$88.43
5335-1,29-12-2013,John Castell,"38/133-145 Castlereagh St,Sydney",Sydney,NSW,Home Office,Natasha Song,Low,Artisan Husing File Binders,Office Supplies,Small Box,Regular Air,30-12-2013,$3.65,$5.98,$2.33,37,$100.98,4%,$11.00,$97.18,$1.49,$98.68
5335-1,17-08-2013,Valerie Dominguez,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Consumer,Tina Carlton,Medium,Alto Keyboard-In-A-Box,Office Supplies,Wrap Bag,Regular Air,17-08-2013,$6.40,$29.10,$22.70,48,$360.06,3%,$3.26,$328.70,$4.00,$303.52
5335-2,13-12-2013,Joseph Airdo,"Westfield Sydney,Sydney",Sydney,NSW,Consumer,Natasha Song,High,"OIC Colored Binder Clips, Assorted Sizes",Technology,Small Pack,Regular Air,14-12-2013,$2.29,$3.58,$1.29,32,$107.40,8%,$1.07,$106.33,$1.63,$107.96
5335-2,11-12-2013,Patrick Jones,"222 Barkly St,St Kilda",Melbourne,VIC,Small Business,Yvette Biti,Critical,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Small Box,Regular Air,15-12-2013,$2.29,$3.58,$1.29,45,$107.40,8%,$1.07,$106.33,$1.63,$107.96
5335-2,11-12-2013,Patrick Jones,"222 Barkly St,St Kilda",Melbourne,VIC,Small Business,Yvette Biti,Not Specified,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Small Box,Regular Air,15-12-2013,$2.29,$3.58,$1.29,20,$107.40,5%,$1.07,$106.33,$1.63,$107.96
5336-1,09-09-2013,Frank Price,"224A Gertrude St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Low,PastelOcean Color Pencil Set,Office Supplies,Small Box,Regular Air,10-09-2013,$11.11,$19.84,$8.73,34,$73.92,6%,$2.96,$60.96,$4.10,$72.96
5336-1,08-12-2013,Gary Hwang,"60 York St,Sydney",Sydney,NSW,Corporate,Charlie Bui,High,Smiths Pushpins,Office Supplies,Wrap Bag,Regular Air,15-12-2013,$0.94,$1.88,$0.94,50,$600.94,0%,$12.33,$59.90,$0.79,$60.79
5336-1,08-01-2014,Dionis Lloyd,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Corporate,Mihael Khan,High,Binder Clips by OIC,Office Supplies,Wrap Bag,Express Air,15-01-2014,$0.93,$1.48,$0.55,42,$36.40,1%,$1.87,$34.65,$0.70,$35.36
5336-1,24-07-2014,Hirlia Sunley,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,High,Alto Perma 2700 Stacking Storage Drawers,Technology,Small Pack,Regular Air,26-07-2014,$8.92,$29.74,$20.82,29,$441.60,3%,$4.65,$426.05,$6.64,$420.47
5336-1,07-01-2014,Charlotte Melton,"211/25-29 Dixon St,Haymarket",Sydney,NSW,Consumer,Preston Senome,Low,OIC Thumb-Tacks,Office Supplies,Small Box,Regular Air,08-01-2014,$0.71,$1.14,$0.43,37,$56.40,6%,$2.42,$53.56,$0.70,$54.62
